"","Group.1","x"
"1","Albania",7.46212121212121
"2","Antigua and Barbuda",0.0339506172839506
"3","Argentina",221.018817204301
"4","Armenia",6.39261744966443
"5","Aruba",0.601190476190476
"6","Australia",194.752777777778
"7","Austria",131.081151832461
"8","Azerbaijan",8.625
"9","Bahamas",0.33695652173913
"10","Bahrain",1.83730158730159
"11","Barbados",0.59
"12","Belarus",237.666666666667
"13","Belgium",168.712365591398
"14","Belize",1.03571428571429
"15","Bosnia and Herzegovina",13.25
"16","Brazil",609.174731182796
"17","Bulgaria",101.077777777778
"18","Cabo Verde",3.5
"19","Canada",309.083333333333
"20","Chile",109.932795698925
"21","Colombia",142.688172043011
"22","Costa Rica",18.8666666666667
"23","Croatia",70.3396946564885
"24","Cuba",143.8125
"25","Cyprus",2.31460674157303
"26","Czech Republic",135.673913043478
"27","Denmark",57.9431818181818
"28","Dominican Republic",0
"29","Ecuador",55.5376344086022
"30","El Salvador",40.5659722222222
"31","Estonia",27.9126984126984
"32","Fiji",2.3030303030303
"33","Finland",96.7729885057471
"34","France",914.241666666667
"35","Georgia",12.2121212121212
"36","Germany",933.532051282051
"37","Greece",33.247311827957
"38","Grenada",0.12258064516129
"39","Guatemala",22.6361111111111
"40","Guyana",11.42
"41","Hungary",238.358064516129
"42","Iceland",2.90052356020942
"43","Ireland",34.9277777777778
"44","Israel",30.3602150537634
"45","Italy",355
"46","Jamaica",0.901960784313726
"47","Japan",2169.09139784946
"48","Kazakhstan",325.467948717949
"49","Kiribati",0.401515151515151
"50","Kuwait",3.22
"51","Kyrgyzstan",41.9551282051282
"52","Latvia",50.6746031746032
"53","Lithuania",107.019083969466
"54","Luxembourg",5.26344086021505
"55","Macau",2.25
"56","Maldives",0.166666666666667
"57","Malta",1.57258064516129
"58","Mauritius",10.1937172774869
"59","Mexico",298.760752688172
"60","Mongolia",42.3
"61","Montenegro",3.93333333333333
"62","Netherlands",133.070680628272
"63","New Zealand",41.3304597701149
"64","Nicaragua",27.9583333333333
"65","Norway",47.2
"66","Oman",0.916666666666667
"67","Panama",11.61
"68","Paraguay",14.7623456790123
"69","Philippines",118.5
"70","Poland",482.979166666667
"71","Portugal",74.2623456790123
"72","Puerto Rico",24.3091397849462
"73","Qatar",3.2247191011236
"74","Romania",217.895209580838
"75","Russia",3733.77160493827
"76","Saint Kitts and Nevis",0
"77","Saint Lucia",0.68452380952381
"78","Saint Vincent and Grenadines",0.413333333333333
"79","San Marino",0.111111111111111
"80","Serbia",111.939814814815
"81","Seychelles",0.453703703703704
"82","Singapore",27.1209677419355
"83","Slovakia",50.8977272727273
"84","Slovenia",42.1230158730159
"85","South Africa",30.5041666666667
"86","South Korea",703.575268817204
"87","Spain",269.360215053763
"88","Sri Lanka",421.522727272727
"89","Suriname",6.44642857142857
"90","Sweden",105.572625698324
"91","Switzerland",104.035714285714
"92","Thailand",331.266467065868
"93","Trinidad and Tobago",12.466049382716
"94","Turkey",120.607142857143
"95","Turkmenistan",24.7816091954023
"96","Ukraine",952.232142857143
"97","United Arab Emirates",8.63888888888889
"98","United Kingdom",367.755376344086
"99","United States",2779.60483870968
"100","Uruguay",39.1011904761905
"101","Uzbekistan",131.829545454545
